PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,ReusedCount,landing_location,year,month,Outcome
12259.0,4.0,1.0,1,True,False,True,2.0,12,0.0,2019,3,True
2482.0,4.0,0.0,1,True,False,True,2.0,3,0.0,2019,5,True
13200.0,11.0,0.0,3,True,True,True,2.0,9,0.0,2019,5,True
1425.0,9.0,2.0,2,True,True,True,1.0,12,2.0,2019,6,True
2227.7,4.0,0.0,2,True,True,True,0.0,3,2.0,2019,7,True
6500.0,2.0,0.0,3,False,True,False,2.0,2,0.0,2019,8,False
15600.0,11.0,0.0,4,True,True,True,2.0,4,0.0,2019,11,True
5000.0,4.0,0.0,1,True,False,True,2.0,5,0.0,2019,12,True
6800.0,2.0,0.0,3,True,True,True,2.0,3,0.0,2019,12,True
15600.0,11.0,0.0,4,True,True,True,2.0,9,0.0,2020,1,True
13260.0,8.0,1.0,4,False,True,False,2.0,3,0.0,2020,1,False
15600.0,11.0,0.0,3,True,True,True,2.0,12,0.0,2020,1,True
15600.0,11.0,0.0,4,True,True,True,2.0,3,0.0,2020,2,False
1977.0,4.0,0.0,2,True,True,True,0.0,5,2.0,2020,3,True
15600.0,11.0,1.0,5,True,True,True,2.0,4,0.0,2020,3,False
15600.0,11.0,1.0,4,True,True,True,2.0,12,0.0,2020,4,True
9525.0,4.0,1.0,1,True,False,True,2.0,13,0.0,2020,5,True
15600.0,11.0,0.0,5,True,True,True,5.0,9,0.0,2020,6,True
15600.0,11.0,0.0,3,True,True,True,2.0,5,0.0,2020,6,True
3880.0,6.0,0.0,1,True,False,True,5.0,12,0.0,2020,6,True
13260.0,1.0,0.0,2,True,True,True,5.0,13,0.0,2020,7,True
15600.0,11.0,0.0,6,True,True,True,2.0,9,0.0,2020,8,True
1600.0,9.0,0.0,4,True,True,True,0.0,5,2.0,2020,8,True
15600.0,11.0,1.0,2,True,True,True,2.0,12,0.0,2020,9,True
15600.0,11.0,1.0,3,True,True,True,2.0,13,0.0,2020,10,True
15600.0,11.0,1.0,6,True,True,True,2.0,12,0.0,2020,10,True
15600.0,11.0,0.0,3,True,True,True,5.0,12,0.0,2020,10,True
3681.0,6.0,0.0,1,True,False,True,2.0,8,0.0,2020,11,True
13260.0,4.0,1.0,1,True,False,True,5.0,9,0.0,2020,11,True
1440.0,7.0,2.0,1,True,False,True,1.0,6,2.0,2020,11,True
15600.0,11.0,0.0,7,True,True,True,2.0,9,0.0,2020,11,True
2972.0,4.0,1.0,4,True,True,True,2.0,13,0.0,2020,12,True
7000.0,2.0,0.0,7,True,True,True,5.0,12,0.0,2020,12,True
13260.0,11.0,1.0,5,True,True,True,0.0,5,2.0,2020,12,True
3500.0,2.0,0.0,4,True,True,True,5.0,12,0.0,2021,1,True
15600.0,11.0,1.0,8,True,True,True,5.0,12,0.0,2021,1,True
13260.0,9.0,0.0,5,True,True,True,2.0,13,0.0,2021,1,True
15600.0,11.0,0.0,5,True,True,True,2.0,12,0.0,2021,2,True
15600.0,11.0,0.0,6,True,True,True,2.0,5,0.0,2021,2,False
15600.0,11.0,1.0,8,True,True,True,2.0,9,0.0,2021,3,True
15600.0,11.0,0.0,6,True,True,True,5.0,13,0.0,2021,3,True
15600.0,11.0,1.0,9,True,True,True,2.0,12,0.0,2021,3,True
15600.0,11.0,0.0,6,True,True,True,2.0,12,0.0,2021,3,True
15600.0,11.0,0.0,7,True,True,True,2.0,13,0.0,2021,4,True
